"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","145","191","1,947","13.4","59","57","16","4","18","0","0","17","367.0","21.6","99.9%"
"2","Deebo Samuel (SF)","77","121","1,405","18.2","83","53","6","59","365","8","2","16","300.5","18.8","98.7%"
"3","Davante Adams (LV)","123","169","1,553","12.6","59","37","11","0","0","0","0","16","282.8","17.7","100.0%"
"4","Justin Jefferson (MIN)","108","167","1,616","15.0","56","45","10","6","14","0","1","17","276.4","16.3","100.0%"
"5","Ja'Marr Chase (CIN)","81","128","1,455","18.0","82","49","13","7","21","0","1","17","264.1","15.5","100.0%"
"6","Tyreek Hill (MIA)","111","159","1,239","11.2","75","24","9","9","96","0","1","17","241.0","14.2","100.0%"
"7","Stefon Diggs (BUF)","103","164","1,225","11.9","61","24","10","0","0","0","0","17","234.0","13.8","100.0%"
"8","Mike Evans (TB)","74","114","1,035","14.0","46","30","14","1","10","0","0","16","225.5","14.1","93.5%"
"9","Diontae Johnson (PIT)","107","169","1,161","10.9","50","27","8","5","53","0","2","16","220.9","13.8","92.4%"
"10","Mike Williams (LAC)","76","129","1,146","15.1","72","37","9","0","0","0","0","16","208.6","13.0","92.1%"
"11","Hunter Renfrow (LV)","103","128","1,038","10.1","54","14","9","3","3","0","1","17","207.6","12.2","12.7%"
"12","DK Metcalf (SEA)","75","129","967","12.9","84","19","12","1","6","0","0","17","206.8","12.2","99.4%"
"13","Tyler Lockett (SEA)","73","107","1,175","16.1","69","43","8","2","9","0","0","16","204.9","12.8","93.4%"
"14","Keenan Allen (LAC)","106","157","1,138","10.7","42","19","6","0","0","0","0","16","204.8","12.8","97.7%"
"15","Michael Pittman Jr. (IND)","88","129","1,082","12.3","57","20","6","5","44","0","0","17","194.6","11.4","90.4%"
"16","Jaylen Waddle (MIA)","104","140","1,015","9.8","57","15","6","2","3","1","1","16","193.8","12.1","99.8%"
"17","Chris Godwin (TB)","98","127","1,103","11.3","44","19","5","4","21","1","2","14","193.4","13.8","94.3%"
"18","CeeDee Lamb (DAL)","79","120","1,102","13.9","49","31","6","9","76","0","0","16","193.3","12.1","100.0%"
